"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SHCBP1",-55.3507988275402,807.233445872444,-1.40270531525155,0.162993520780911,0.595132625517229,-4.45269997955791
"ZNF500",-63.2728058862208,2095.30235441784,-1.40266919023095,0.163004276612253,0.595132625517229,-4.4527263208958
"IFI44L",-120.098241909428,1396.28425718083,-1.40266422560931,0.16300575481656,0.595132625517229,-4.45272994090596
"DDX47",-141.553082012324,3738.80589882191,-1.40233353653944,0.163104239719031,0.595379751179817,-4.45297103896068
"LYZL4",0.679718609798427,7.69831178148561,1.40217147182935,0.163152521943656,0.595414626370759,-4.45308917686132
"CD1B",-7.15441000179449,71.7569762652556,-1.40202148026251,0.163197217052935,0.595414626370759,-4.45319850233062
"FGF14",-3.06112532152893,52.5682560407715,-1.40199136492206,0.163206192072142,0.595414626370759,-4.45322045137263
"C11orf65",2.23478231740141,46.1685229459587,1.40179011649341,0.16326617809203,0.595521085825496,-4.45336711619778
"UBASH3B",-58.5457137046087,1277.85318119149,-1.40143976271052,0.163370647968849,0.595789731472134,-4.45362239716801
"ABCA4",-34.5483859544173,817.033014541341,-1.40129556216168,0.163413661058015,0.595834193808666,-4.45372744936839
"AATK",722.711960279928,29488.7592354668,1.40109207197446,0.163474374135502,0.59589885610932,-4.45387567731976
"C11orf54",308.683775378371,10827.3571914232,1.40102950726012,0.163493044320496,0.59589885610932,-4.45392124706575
"SH3TC1",-220.416696297184,2549.21279507376,-1.40082828094938,0.163553104082851,0.595937635628359,-4.45406779940189
"SLCO4A1",43.0030311658763,1484.76701334626,1.40078730230487,0.163565336987589,0.595937635628359,-4.45409764151757
"WDR20",-76.6516409642895,4064.99532195645,-1.40034511538272,0.163697382556083,0.59626288231483,-4.45441960466847
"ROCK1",-271.679358736616,8068.73940269074,-1.40025946089808,0.163722970031197,0.59626288231483,-4.45448195976945
"IQCD",-7.09892014117369,92.2398457621487,-1.40017857272658,0.16374713646852,0.59626288231483,-4.45454084171622
"ERMARD",-65.8242345516537,2101.82351123883,-1.3999524880657,0.163814696740508,0.596391394488866,-4.45470540109462
"PNPT1",-77.1537745408818,2475.78349306336,-1.39985401873446,0.163844128705275,0.596391394488866,-4.45477706563325
"UPK3BL2",-52.577056648921,1047.63551532663,-1.39964099869777,0.163907813058682,0.596409856356555,-4.45493208197792
"ADPRH",-81.9341073159057,927.036538195526,-1.39963066637382,0.163910902484087,0.596409856356555,-4.45493960031616
"ACOT11",-461.761234910602,19291.4821511513,-1.39941545852983,0.16397526097665,0.596446413918428,-4.45509618469095
"DMTN",66.9667098163584,1582.84828160678,1.39939073722826,0.163982655181898,0.596446413918428,-4.45511417033513
"C4orf54",-0.373332535742058,1.50852120028172,-1.39907521197838,0.164077051913084,0.596677495783246,-4.4553436996747
"MATR3",-729.087776933615,20609.7454331122,-1.39842391643369,0.164272033055299,0.597103411898485,-4.45581732884453
"CSGALNACT1",-60.0683514386554,661.717342476233,-1.39840703407855,0.164277089543981,0.597103411898485,-4.45582960306688
"SLFN12",-20.2034374588739,318.513812777674,-1.39837450554822,0.164286832603354,0.597103411898485,-4.4558532523536
"IGFL2",-2.68767362565048,36.8289846443303,-1.39824188155184,0.164326561162758,0.597135541428278,-4.45594966880578
"WAC",-399.835200873322,16077.4219795047,-1.39781586282453,0.16445422792077,0.597481072056694,-4.4562593213205
"TCP10L",-1.49273817072439,13.5274904531381,-1.39771834912328,0.164483460867253,0.597481072056694,-4.45633018662435
"CNKSR1",98.5588835317376,6384.3728413639,1.39753999464344,0.164536938739526,0.597563047099854,-4.45645978840721
"PDE3B",-89.6418907698751,1565.88379589683,-1.3973060419929,0.164607107260396,0.597705596836586,-4.45662976673374
"HIP1",-84.4387906322868,1912.79773478198,-1.39711076786086,0.164665692525845,0.597806040921998,-4.45677162230346
"INO80",-155.453507686785,6997.19609773521,-1.39673757191664,0.164777701253558,0.597893676110817,-4.45704267513047
"VCX3B",0.404450080756118,1.89436733357232,1.39672395866698,0.164781788146576,0.597893676110817,-4.45705256114455
"DMC1",-6.35329353352876,96.6040400108461,-1.39672120567038,0.164782614645067,0.597893676110817,-4.45705456037408
"DNAJB4",-39.2335318538014,792.799540403165,-1.39656511079513,0.164829482262642,0.597930100739425,-4.45716791048836
"SLC19A2",-25.2419836094989,947.393745702286,-1.39648175999337,0.164854512566787,0.597930100739425,-4.45722843167438
"COL21A1",-4.46001076748216,52.0035769348829,-1.3962706017302,0.164917936491755,0.597951535214605,-4.45738173862789
"CFAP97",-74.91260788419,1742.8271730447,-1.39613723980698,0.164958002919151,0.597951535214605,-4.45747855176414
"OSBPL8",-223.351536041149,5228.31451943015,-1.39612600587547,0.164961378310053,0.597951535214605,-4.45748670655193
"TMEM198",-107.837010946936,2214.5291158692,-1.39604413027686,0.164985980559889,0.597951535214605,-4.45754613871073
"FYTTD1",-154.195832745105,4284.50449423923,-1.39588278243856,0.165034471065193,0.597951535214605,-4.45766324869462
"GIGYF2",-245.180227313511,11189.4879323722,-1.39584440560974,0.165046006202417,0.597951535214605,-4.45769110157332
"CUEDC1",-97.672230663394,1628.29304844057,-1.3954068957164,0.165177554368771,0.598269425209876,-4.45800858272268
"CRABP2",5.23145827600652,78.5237073379998,1.39530983535442,0.165206748778322,0.598269425209876,-4.45807900211498
"CBFB",-124.023948316083,1920.49731976366,-1.39524387424302,0.165226591206059,0.598269425209876,-4.45812685564967
"RHBDL3",-5.19415732487876,70.8193246312923,-1.39500720814129,0.16529780005312,0.598341738922045,-4.45829853457489
"LY6G5B",118.003800382843,1551.81716316884,1.3946785862652,0.165396715569923,0.598341738922045,-4.4585368724627
"ODF2L",-67.2566909732579,1608.15897700536,-1.39465567827775,0.16540361257622,0.598341738922045,-4.45855348481421
"TASL",-42.8898773703414,458.292652791489,-1.39464618297538,0.165406471431891,0.598341738922045,-4.4585603705149
"TMEM169",-5.34958569121264,102.766987121375,-1.3944022210338,0.165479936644585,0.598341738922045,-4.45873726879376
"NANOG",0.740580247652089,5.49153086918383,1.39428711050596,0.165514608947039,0.598341738922045,-4.4588207258368
"DOK3",-515.309914458338,5195.18871624847,-1.39419733046786,0.165541655319846,0.598341738922045,-4.45888581327183
"RAP1B",-471.444134473903,11325.6557927858,-1.39416531223512,0.165551301674448,0.598341738922045,-4.45890902441615
"STUM",-26.0216589100911,549.081959913616,-1.39412584276748,0.165563193502681,0.598341738922045,-4.45893763652011
"KLHL33",-6.94944643177584,99.8674310263296,-1.39404263623172,0.16558826508143,0.598341738922045,-4.45899795184293
"MAFG",-135.104448405809,8430.186337406,-1.39404015175222,0.165589013742794,0.598341738922045,-4.4589997527564
"NCDN",-100.6676508943,2061.3424884874,-1.39388947413214,0.165634423042035,0.598341738922045,-4.45910896801443
"EP300",-380.498028115078,18836.9848393689,-1.39371072840306,0.165688303433977,0.598341738922045,-4.45923851313577
"KIFC3",336.065184303401,16051.5680108077,1.3935388927139,0.165740113460399,0.598341738922045,-4.45936303523005
"GTF2IRD1",-40.3706880421134,1282.83823767186,-1.39348248363417,0.165757123998585,0.598341738922045,-4.4594039093092
"FHIP2B",-248.094642340106,12538.5130206962,-1.39345827079923,0.165764425949498,0.598341738922045,-4.45942145346879
"LRRC71",-0.395286235568582,2.92233746057709,-1.3934307468006,0.165772726757008,0.598341738922045,-4.45944139647988
"SNRNP200",-845.976278997397,38026.51499947,-1.39277902950245,0.16596936689223,0.59882557231673,-4.45991349974739
"CPSF6",-221.48934808876,6629.42417531304,-1.3926547212387,0.16600689408036,0.59882557231673,-4.46000352447737
"LRRC8C",-76.2546656098593,1007.14233073636,-1.39252522817958,0.166045993358715,0.59882557231673,-4.46009729587608
"SCTR",-3.49283818867016,60.9341655144529,-1.39248949107649,0.166056785092359,0.59882557231673,-4.46012317315208
"CENPU",43.2008489561518,941.663323244094,1.39239249108027,0.166086079414419,0.59882557231673,-4.46019340774883
"P2RY10",-167.8093308608,1594.03700696175,-1.3922948088522,0.166115583744098,0.59882557231673,-4.46026413158955
"TBCE",-51.275863372615,1755.88457211921,-1.39226825241513,0.166123605645284,0.59882557231673,-4.46028335814653
"FANCM",-20.6395343662137,430.796961396,-1.39194872438994,0.16622014855141,0.599061877665151,-4.46051466523166
"VWA2",31.987714542083,748.056306214793,1.39165500303363,0.166308931800044,0.599160943088969,-4.46072724592687
"SH3BP5L",192.050220015559,10500.6220037547,1.39165271872642,0.166309622419585,0.599160943088969,-4.46072889902466
"MFSD6L",14.4875367589876,434.239587606305,1.39126906773996,0.166425643390873,0.59935624082001,-4.46100650105572
"GOLGA6L10",-2.88552060776453,45.8012440716628,-1.39126842430287,0.166425838026165,0.59935624082001,-4.46100696657208
"PPP1R10",-273.136557037749,12678.563976205,-1.39106095665447,0.166488604584852,0.599470609766131,-4.46115705530591
"SNX16",-17.6894973978578,518.819035817379,-1.39087932860947,0.166543568489115,0.599556846560815,-4.46128843323344
"EGR2",-48.2056770951713,572.870355379309,-1.39065727221229,0.166610785477171,0.599687154132317,-4.46144903206615
"KCNJ10",-59.6195106777532,589.39328921955,-1.39019573789578,0.16675055895649,0.600078519312523,-4.46178275095246
"FAS",-73.8002871328549,2197.158973738,-1.38999185451573,0.166812332443818,0.600189095627003,-4.46193013789148
"ALOX15B",-15.364772626667,137.348995038924,-1.38983652889704,0.166859405356617,0.600246748112044,-4.46204240860484
"LUM",-738.093862295857,6569.82932391477,-1.38964795114781,0.16691656921223,0.600340672746202,-4.4621786980859
"MN1",-15.0135794700003,164.608386790142,-1.38954165148514,0.166948798546236,0.600344898343721,-4.46225551548746
"IPO5",-329.285561284913,8770.41863366022,-1.38929509777473,0.167023570156297,0.600502075183473,-4.46243366572892
"H2BC12",223.776396721901,3895.62310195443,1.3890063803267,0.167111160979313,0.600705274089266,-4.46264224335075
"EXOC5",-116.813135371178,3241.68635607051,-1.3888443911713,0.167160320375674,0.600768276877867,-4.46275925068543
"CHMP4C",148.542748579293,5842.3747696047,1.38874383983815,0.167190840554672,0.600768276877867,-4.46283187392751
"AQR",-175.673986480823,6238.84887230098,-1.38858088506799,0.167240310934736,0.600834359968465,-4.46294955737541
"MAGEC3",0.328288568523058,1.31873668528344,1.38837920318697,0.16730155362443,0.600942704323202,-4.4630951906217
"IRF8",-657.726149847427,14314.4626816869,-1.38808443412657,0.167391093797339,0.601101035670248,-4.46330800507245
"C4B",397.360943051984,2852.55240381814,1.38802938425215,0.1674078199901,0.601101035670248,-4.4633477446362
"PRRT4",-2.55508524256742,23.6848989096724,-1.38742985626395,0.167590061026944,0.601585087533846,-4.4637804358261
"BCAS3",-58.7673668720427,1951.43817257925,-1.38736395406575,0.167610102782318,0.601585087533846,-4.46382798781275
"ZNF541",-2.79469330621519,63.4486035894228,-1.387227688965,0.167651548626736,0.601585087533846,-4.46392630355742
"GATAD2B",-79.8072338338234,2212.59180805631,-1.38717655330892,0.167667103850215,0.601585087533846,-4.46396319572252
"PXDN",-129.712660405575,3531.32610310104,-1.38655512627532,0.167856226601819,0.602053116562451,-4.46441142427258
"IKZF1",-623.492821439253,7533.41734429701,-1.38629404012555,0.167935732877205,0.602053116562451,-4.46459968542844
"GNAT3",-3.76280433092052,57.6912846269959,-1.38626354153686,0.167945022209675,0.602053116562451,-4.46462167480142
"ZFP14",-51.1588466830181,1683.03019575335,-1.3862536170866,0.167948045106397,0.602053116562451,-4.46462883019443
"INCA1",7.83533313393531,282.855679918908,1.38623649043118,0.167953261826055,0.602053116562451,-4.46464117816343
"UVRAG",-136.06261859185,3366.03113724479,-1.38600504597471,0.168023771067413,0.602194205093664,-4.46480803055015
"XAGE1B",-0.904746545432791,3.58625142682238,-1.38535279403277,0.16822259964526,0.602724013453561,-4.4652781067669
"MR1",-145.309073218876,2684.33179760976,-1.38517177430856,0.168277812261892,0.602724013453561,-4.46540852958737
"ZFP41",-58.39369216965,2720.65302732172,-1.38505355670855,0.168313877098921,0.602724013453561,-4.46549369531341
"MFSD1",-202.738365496196,6267.9258680001,-1.38489576994492,0.168362022505639,0.602724013453561,-4.46560735639811
"PACSIN1",-28.1146952204338,282.529685555462,-1.38472777123425,0.16841329536732,0.602724013453561,-4.46572835997298
"KDM4C",-140.440238320271,6688.75539820254,-1.38459929505272,0.16845251403002,0.602724013453561,-4.46582088736005
"CCDC102A",-53.2596154812466,602.105530509831,-1.38447710359471,0.16848982064716,0.602724013453561,-4.4659088809088
"EIF4ENIF1",-100.153978823953,3683.26638385288,-1.38433747627912,0.168532458330335,0.602724013453561,-4.46600942139992
"DHX33",-60.9479949751758,2909.37428940119,-1.38424889715896,0.168559511783941,0.602724013453561,-4.46607319892394
"FERD3L",0.301489501704851,0.415166343627646,1.38423095971054,0.168564990563435,0.602724013453561,-4.46608611352328
"TM4SF4",-679.204505114544,5968.37241437254,-1.38420087284713,0.16857418054012,0.602724013453561,-4.46610777509492
"STAMBPL1",-87.4129771490063,1994.99275282603,-1.38417539336188,0.168581963498992,0.602724013453561,-4.46612611914979
"COQ4",-251.077842675124,9573.07638339791,-1.38411336358854,0.168600912242056,0.602724013453561,-4.46617077637378
