"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PUF60",350.61048472849,-2.26014548127009,0.558940314250429,-4.04362581056812,5.26308935913886e-05,0.0168226554304321
"SFN",753.64082040857,1.10694958398257,0.274079087904405,4.03879621917256,5.37262145793208e-05,0.0168487436325074
"FGFBP1",22.3476544163333,1.59690170472743,0.395827849312039,4.03433388404301,5.47574114191743e-05,0.0168541284295944
"PIGZ",93.7455570651122,1.0057602776524,0.249710206868713,4.02770992128965,5.63227729522171e-05,0.01702074198616
"PLCG1",392.768662767533,-0.420212493207081,0.105058555262818,-3.99979318348577,6.33978631710607e-05,0.0185271932395385
"TOB1",486.397500661104,0.462461684912006,0.115636409769203,3.99927398156884,6.35370925127065e-05,0.0185271932395385
"FKBP5",594.828993687526,-0.65074898381588,0.163138670734861,-3.98893150768344,6.63715804419225e-05,0.0190200351469861
"EDRF1",142.788359096925,-0.356121178828295,0.0894863493717202,-3.97961455941165,6.90270913226548e-05,0.0194457505910821
"PON2",609.611843268073,0.530047677228908,0.133567000114522,3.96840294963905,7.23559131623316e-05,0.0200437938778519
"WFDC2",18.2161822183117,1.28155054030853,0.323671448820012,3.95941793748134,7.51326551302411e-05,0.0204718009986842
"IKZF2",157.356422269713,-0.627610853918398,0.159603536230747,-3.93231170649646,8.41328744734111e-05,0.0225543952681059
"PADI2",401.661180126995,1.05888210119389,0.269853934917645,3.92390832291194,8.71239010734367e-05,0.0226263493709624
"UGP2",917.101880632192,0.351083297747254,0.0894477586992838,3.92500944520664,8.6726335019335e-05,0.0226263493709624
"MMP16",12.7702287302617,-1.24110433665765,0.317371082259748,-3.91057788825852,9.20755621996001e-05,0.023187695747266
"PLCD3",97.1824917043149,1.13805690503071,0.290809410679427,3.91341154459833,9.10012450481311e-05,0.023187695747266
"PHLDA2",126.121524784643,0.902745922454559,0.231475234009374,3.89996764154044,9.62055452165343e-05,0.0238661547320002
"RNF208",26.0388474753797,-0.827364451836252,0.212747297597408,-3.88895398992053,0.000100677200116053,0.0246081726930722
"RAMACL",9.49423671978515,1.56444129447392,0.403380270014039,3.87832874032106,0.000105176529004359,0.0252483958203462
"TNS4",18.4634052341384,1.42654357319162,0.368077267612394,3.87566334222479,0.000106334619302342,0.0252483958203462
"AJAP1",5.76759729798575,1.29332039605025,0.334497781017583,3.86645433675466,0.000110429128820518,0.0254455133726549
"NANS",484.394647784368,0.529304044963432,0.137049843794336,3.86212804268302,0.000112403624266798,0.0254455133726549
"RGS1",181.042485475509,-1.18043258492867,0.305312683073135,-3.86630706935258,0.000110495799419744,0.0254455133726549
"ZNF141",228.817654461337,-0.463350904685247,0.120032488333485,-3.86021244013474,0.000113288489836741,0.0254455133726549
"ARL11",88.9030017235053,-0.685360939613865,0.178830100925427,-3.83246967969706,0.000126863239021765,0.0273910449032588
"HPR",7.63014595212157,2.06757594423463,0.540341656669332,3.8264233725365,0.0001300185974363,0.0273910449032588
"IL22RA2",27.6720100510133,-1.59384986155569,0.416573151289451,-3.82609838541472,0.000130190274192735,0.0273910449032588
"SLC1A2",19.1008850738636,-1.79206295253428,0.467663520888571,-3.83194940911646,0.000127131885983607,0.0273910449032588
"SLC9A3",1662.47345013446,0.860732108488791,0.224474103180871,3.83443834407595,0.00012585153441282,0.0273910449032588
"CAPN2",1184.62939680401,0.421883802509998,0.11036005167015,3.82279453593358,0.000131947722719506,0.0274137887415113
"ZNF286A",97.1500219435537,-0.576823824598148,0.151543722521514,-3.80631948985058,0.000141050153053305,0.0289431431345552
"ADAMTS12",19.2775565753127,1.1973137381076,0.315312568701119,3.79722807447782,0.000146323150179586,0.0296589887699378
"MICOS10-NBL1",33.0923874547165,-3.37960564032026,0.893008155023557,-3.7845182278667,0.000154006620523424,0.0308402896351787
"MUC12",210.626840627399,1.07389038873333,0.284071032251885,3.78035866670527,0.000156602597147787,0.030986806752302
"MCM3AP",672.715944369019,-0.276378364589806,0.0733668863342384,-3.76707229104293,0.000165173183770716,0.0322981586759185
"ATM",640.229618849124,-0.675807708065866,0.179700272044867,-3.76074949901653,0.000169405012118009,0.0327404733303887
"CYB561D1",200.794021007645,0.366479638149506,0.0980119617133535,3.73913175231932,0.000184656933489522,0.0344852010284197
"GDF15",44.5501350909088,0.882055764425705,0.235854901866551,3.73982375369404,0.00018414932767283,0.0344852010284197
"LSS",149.879630150731,-1.72937796852768,0.461974449699849,-3.7434493826472,0.000181511180822644,0.0344852010284197
"CRABP2",7.00121522506361,1.99012050906991,0.534336098257326,3.72447325861092,0.00019572345670323,0.0357485667457625
"IPPK",49.4592793398787,-1.5920070528263,0.427211781252223,-3.72650550076096,0.000194152836972358,0.0357485667457625
"NOM1",157.376135428162,-0.365182204130961,0.0981773729003372,-3.71961678483359,0.000199525275565994,0.0360468435345911
"POLG2",73.8568995115926,-0.535686850188483,0.144254849430341,-3.71347550743631,0.00020443225810405,0.0365362210962088
"HSFX3",13.4842868952584,-15.8830424696679,4.29098137547183,-3.7014941524703,0.000214333596765007,0.0378982841684168
"ARHGAP22",34.0640967276827,-0.970869096075696,0.263677278843826,-3.68203548039015,0.000231379199494742,0.0404816176294959
"CETP",74.0775384903587,-1.69198133893315,0.460128580687725,-3.67719244130468,0.000235815137812995,0.0407542517196641
"EML6",88.5360209294738,-1.18697699166445,0.323896609780663,-3.66467865306847,0.000247649324570488,0.0407542517196641
"FARS2",207.182378654858,-0.402130733122042,0.109435248556353,-3.67459971468854,0.000238222596037495,0.0407542517196641
"IGLL5",6419.06038071676,1.35249883406546,0.368499562954333,3.67028612794603,0.000242279113553984,0.0407542517196641
"SPATA2",151.846544742085,0.514806359312488,0.140442820957414,3.66559398197072,0.000246765166637359,0.0407542517196641
"SUPV3L1",109.090723175925,-0.395158264780757,0.107801716245045,-3.66560272456629,0.000246756736058766,0.0407542517196641
"FRK",959.643709574833,0.603964492050195,0.165141053937028,3.6572643667425,0.000254921422764204,0.0415396957623905
"ZNF641",146.904866460881,-0.342969079640274,0.0940038989056896,-3.64845590058304,0.000263821176222559,0.0425725414562636
"IL20RA",17.2628371819179,1.29763841323536,0.356205383546024,3.64295003157273,0.000269531176138603,0.0426655017009497
"RGMA",147.429595252987,-1.0526663205657,0.288769282732282,-3.64535421013471,0.000267023759903003,0.0426655017009497
"DHX40",412.620618141645,-0.246882905474715,0.0678895779404934,-3.63653616599462,0.000276328861393701,0.0429903627999474
"EPHA1",137.131730096264,0.79602627879738,0.218920829472343,3.63613768829587,0.000276756441826266,0.0429903627999474
"LRRC42",125.785668981808,0.385947475510301,0.106486225888705,3.6243887159047,0.000289645700388486,0.0433711818572705
"SFSWAP",368.323319006115,-0.287924610710737,0.0794217425115149,-3.62526181881483,0.000288668844992995,0.0433711818572705
"SV2B",26.9740074935255,-1.13659063919981,0.31331301584862,-3.62765216159727,0.000286010221652741,0.0433711818572705
"ZCCHC7",289.862405523939,-0.41733175072345,0.115071910507478,-3.62670393567793,0.000287062114854505,0.0433711818572705
"POLA1",215.324908662728,-0.421003506332252,0.116326010002656,-3.61916914645863,0.000295550415983603,0.0438602095005666
"CARD11",150.549187407497,-1.08970503489406,0.301291889898709,-3.6167751984974,0.000298296152531908,0.0438759323117951
"USF1",306.893164859221,-0.907104126563039,0.251138812310317,-3.61196311401754,0.000303887798659288,0.0443063079080353
"MLH3",238.405169926928,-0.302690998056677,0.084002657424868,-3.60335026695321,0.000314141744570977,0.0454030429262105
"MOCOS",270.066207645213,0.562319201121338,0.156322726505446,3.59716858637153,0.000321699990745248,0.0458069391813431
"TBC1D4",282.627021852866,-0.542094433213484,0.150725644384427,-3.59656404474124,0.000322448221179059,0.0458069391813431
"CA4",275.153686322942,1.80728878967162,0.506712451484093,3.56669504445434,0.000361511763874594,0.0500723918946636
"NBPF8",73.0300332088981,-1.89539338971767,0.531261284665102,-3.567723537228,0.000360096143609721,0.0500723918946636
"SMOC1",16.6162210706515,0.966327777091339,0.270853537121075,3.56771333822153,0.000360110156068009,0.0500723918946636
"COL19A1",20.5171920119391,-1.31680194801246,0.369813362763827,-3.56072030002172,0.000369838873950843,0.0503859993765325
"VCAM1",533.357356763062,-0.951686287532458,0.267247674224082,-3.56106480737598,0.000369353896919162,0.0503859993765325
"ATP6V1D",584.227959595001,0.287506409697121,0.0810618104834977,3.54675534610285,0.000390006589009654,0.0514468215549957
"ETNK1",921.964667358219,0.684605753757672,0.193002292486585,3.54713793777997,0.000389440632600345,0.0514468215549957
"FAM120A",2584.06456369608,0.36236348889743,0.102115050663349,3.54858061121727,0.000387313424941493,0.0514468215549957
"S100A14",1983.75607117284,0.587094776382786,0.165463171932244,3.54819002637758,0.000387888263951786,0.0514468215549957
"CAPN1",1279.34656538831,0.390841574400906,0.110890758665496,3.52456398625504,0.000424180355076797,0.0518818601543147
"DERL3",182.831876818235,1.26835331203875,0.360042351314391,3.52278921468108,0.000427030838939373,0.0518818601543147
"EARS2",91.3459744193377,-0.654427936980392,0.185789818088697,-3.52241012835249,0.000427642008070258,0.0518818601543147
"EIF1AX",960.034919670448,-0.576026411042361,0.16361198665671,-3.52068587890798,0.000430432190606637,0.0518818601543147
"FA2H",133.700457582231,0.838653228259164,0.238579103436851,3.51519984851124,0.000439423173092644,0.0518818601543147
"FBF1",66.4232447406468,-0.686073558055157,0.195301314929304,-3.51289779233439,0.000443247947891985,0.0518818601543147
